Timestamp,Phase A Voltage V,Phase A current A,Phase A Active Power W,Phase A Power Factor,Phase A Energy Consumed Kw.h,Phase B Voltage V,Phase B current A,Phase B Active Power W,Phase B Power Factor,Phase B Energy Consumed Kw.h,Phase C Voltage V,Phase C current A,Phase C Active Power W,Phase C Power Factor,Phase C Energy Consumed Kw.h,Total Energy Consumed Kw.h,Total Current A,Total Active Power,Frequency,id1,id2,id3,err,elapsed time
09/11/24 21:00:00,241.4,1.832,10.0,0.03,1.09,241.2,1.97,363.0,0.76,17.73,240.9,2.068,-415.0,0.83,0.0,1883.0,5.87,-42.0,50.0,368.0,10.0,1.0,2,0.037137508392333984
09/11/24 21:00:01,241.4,1.832,10.0,0.03,1.09,241.2,1.97,363.0,0.76,17.73,240.9,2.068,-415.0,0.83,0.0,1883.0,5.87,-42.0,50.0,368.0,10.0,1.0,0,0.03784918785095215
09/11/24 21:00:02,241.4,1.832,10.0,0.03,1.09,241.2,1.97,363.0,0.76,17.74,240.9,2.068,-415.0,0.83,0.0,1883.0,5.87,-42.0,50.0,368.0,10.0,1.0,1,0.04482913017272949
09/11/24 21:00:03,241.4,1.832,10.0,0.03,1.09,241.2,1.97,363.0,0.76,17.74,240.9,2.068,-415.0,0.83,0.0,1883.0,5.87,-42.0,50.0,368.0,10.0,1.0,0,0.04140520095825195
09/11/24 21:00:04,241.6,1.832,10.0,0.03,1.09,241.2,1.97,363.0,0.76,17.74,241.1,2.068,-415.0,0.83,0.0,1883.0,5.87,-42.0,50.0,368.0,10.0,1.0,2,0.0458073616027832
09/11/24 21:00:05,241.6,1.832,10.0,0.03,1.09,241.2,1.97,363.0,0.76,17.74,241.1,2.068,-415.0,0.83,0.0,1883.0,5.87,-42.0,50.0,368.0,10.0,1.0,0,0.04637455940246582
09/11/24 21:00:06,241.6,1.841,10.0,0.03,1.09,241.2,1.954,363.0,0.76,17.74,241.1,2.067,-415.0,0.83,0.0,1883.0,5.862,-42.0,50.0,368.0,10.0,1.0,4,0.033884286880493164
09/11/24 21:00:07,241.6,1.841,10.0,0.03,1.09,241.2,1.954,363.0,0.76,17.74,241.1,2.067,-415.0,0.83,0.0,1883.0,5.862,-42.0,50.0,368.0,10.0,1.0,0,0.04655146598815918
09/11/24 21:00:08,241.6,1.841,10.0,0.03,1.09,241.2,1.954,361.0,0.76,17.74,241.1,2.067,-415.0,0.83,0.0,1883.0,5.862,-44.0,50.0,368.0,10.0,1.0,2,0.04445981979370117
09/11/24 21:00:09,241.6,1.841,10.0,0.03,1.09,241.2,1.954,361.0,0.76,17.74,241.1,2.067,-415.0,0.83,0.0,1883.0,5.862,-44.0,50.0,368.0,10.0,1.0,0,0.04105329513549805
09/11/24 21:00:11,241.2,1.824,12.0,0.03,1.09,240.8,1.98,360.0,0.76,17.76,240.6,2.077,-416.0,0.83,0.0,1885.0,5.881,-44.0,50.0,361.0,10.0,1.0,0,0.03030681610107422
09/11/24 21:00:11,241.2,1.824,14.0,0.03,1.09,240.8,1.98,362.0,0.76,17.76,240.6,2.077,-415.0,0.83,0.0,1885.0,5.881,-40.0,50.0,361.0,10.0,1.0,4,0.23145794868469238
09/11/24 21:00:12,241.2,1.824,14.0,0.03,1.09,240.8,1.98,362.0,0.76,17.76,240.6,2.077,-415.0,0.83,0.0,1885.0,5.881,-40.0,50.0,361.0,10.0,1.0,0,0.04023337364196777
09/11/24 21:00:13,241.2,1.824,14.0,0.03,1.09,240.8,1.98,362.0,0.76,17.76,240.6,2.077,-415.0,0.83,0.0,1885.0,5.881,-40.0,50.0,361.0,10.0,1.0,0,0.035721778869628906
09/11/24 21:00:14,241.2,1.824,14.0,0.03,1.09,240.8,1.98,362.0,0.76,17.76,240.6,2.077,-415.0,0.83,0.0,1885.0,5.881,-40.0,50.0,361.0,10.0,1.0,0,0.03715229034423828
09/11/24 21:00:15,241.2,1.824,14.0,0.03,1.09,240.8,1.98,362.0,0.76,17.76,240.6,2.077,-415.0,0.83,0.0,1885.0,5.881,-40.0,50.0,361.0,10.0,1.0,0,0.03202390670776367
09/11/24 21:00:16,241.2,1.824,14.0,0.03,1.09,240.8,1.98,362.0,0.76,17.76,240.6,2.077,-415.0,0.83,0.0,1885.0,5.881,-40.0,50.0,361.0,10.0,1.0,0,0.03917217254638672
09/11/24 21:00:17,241.2,1.824,14.0,0.03,1.09,240.8,1.98,362.0,0.76,17.76,240.6,2.077,-415.0,0.83,0.0,1885.0,5.881,-40.0,50.0,368.0,10.0,1.0,1,0.04152321815490723
09/11/24 21:00:18,241.2,1.824,14.0,0.03,1.09,240.8,1.98,362.0,0.76,17.76,240.6,2.077,-415.0,0.83,0.0,1885.0,5.881,-40.0,50.0,368.0,10.0,1.0,0,0.03251171112060547
09/11/24 21:00:19,241.3,1.824,14.0,0.03,1.09,240.9,1.98,362.0,0.76,17.76,240.7,2.077,-415.0,0.83,0.0,1885.0,5.881,-40.0,50.0,368.0,10.0,1.0,3,0.04192352294921875
09/11/24 21:00:20,241.3,1.824,14.0,0.03,1.09,240.9,1.98,362.0,0.76,17.76,240.7,2.077,-415.0,0.83,0.0,1885.0,5.881,-40.0,50.0,368.0,10.0,1.0,0,0.034646034240722656
09/11/24 21:00:22,241.3,1.835,14.0,0.03,1.09,240.9,1.981,362.0,0.76,17.76,240.7,2.08,-415.0,0.83,0.0,1885.0,5.896,-40.0,50.0,368.0,10.0,1.0,4,0.05327892303466797
09/11/24 21:00:23,241.3,1.835,14.0,0.03,1.09,240.9,1.981,362.0,0.76,17.76,240.7,2.08,-415.0,0.83,0.0,1885.0,5.896,-40.0,50.0,368.0,10.0,1.0,0,0.06528711318969727
09/11/24 21:00:24,241.3,1.835,14.0,0.03,1.09,240.9,1.981,362.0,0.76,17.76,240.7,2.08,-415.0,0.83,0.0,1885.0,5.896,-40.0,50.0,368.0,10.0,1.0,0,0.044303178787231445
09/11/24 21:00:25,241.3,1.835,14.0,0.03,1.09,240.9,1.981,365.0,0.76,17.76,240.7,2.08,-418.0,0.83,0.0,1885.0,5.896,-40.0,50.0,368.0,10.0,1.0,2,0.04088735580444336
09/11/24 21:00:26,241.3,1.835,14.0,0.03,1.09,240.9,1.981,365.0,0.76,17.76,240.7,2.08,-418.0,0.83,0.0,1885.0,5.896,-40.0,50.0,368.0,10.0,1.0,0,0.04767942428588867
09/11/24 21:00:27,241.3,1.835,14.0,0.03,1.09,240.9,1.981,365.0,0.76,17.76,240.7,2.08,-418.0,0.83,0.0,1885.0,5.896,-40.0,50.0,368.0,10.0,1.0,0,0.04032087326049805
