Timestamp,Phase A Voltage V,Phase A current A,Phase A Active Power W,Phase A Power Factor,Phase A Energy Consumed Kw.h,Phase B Voltage V,Phase B current A,Phase B Active Power W,Phase B Power Factor,Phase B Energy Consumed Kw.h,Phase C Voltage V,Phase C current A,Phase C Active Power W,Phase C Power Factor,Phase C Energy Consumed Kw.h,Total Energy Consumed Kw.h,Total Current A,Total Active Power,Frequency,id1,id2,id3,err,elapsed time
09/11/24 12:00:00,242.7,3.175,-39.0,0.01,0.97,242.1,3.148,690.0,0.86,12.6,242.7,3.004,-550.0,0.73,0.0,1357.0,9.327,98.0,50.0,376.0,10.0,1.0,0,0.04291391372680664
09/11/24 12:00:01,242.7,3.175,-39.0,0.05,0.97,242.1,3.148,690.0,0.84,12.6,242.7,3.004,-550.0,0.69,0.0,1357.0,9.327,98.0,50.0,376.0,10.0,1.0,3,0.059790849685668945
09/11/24 12:00:02,242.7,3.175,-39.0,0.05,0.97,242.1,3.148,690.0,0.84,12.6,242.7,3.004,-550.0,0.69,0.0,1357.0,9.327,98.0,50.0,376.0,10.0,1.0,0,0.025954723358154297
09/11/24 12:00:03,242.7,3.175,-39.0,0.05,0.97,242.1,3.148,690.0,0.84,12.6,242.7,3.004,-550.0,0.69,0.0,1357.0,9.327,98.0,50.0,376.0,10.0,1.0,0,0.04145312309265137
09/11/24 12:00:04,242.6,3.175,-39.0,0.05,0.97,241.9,3.148,690.0,0.84,12.6,242.5,3.004,-550.0,0.69,0.0,1357.0,9.327,98.0,50.0,376.0,10.0,1.0,3,0.03889274597167969
09/11/24 12:00:05,242.6,3.175,-39.0,0.05,0.97,241.9,3.148,690.0,0.84,12.6,242.5,3.004,-550.0,0.69,0.0,1357.0,9.327,98.0,50.0,376.0,10.0,1.0,0,0.04824542999267578
09/11/24 12:00:06,242.6,4.613,-39.0,0.05,0.97,241.9,4.549,690.0,0.84,12.6,242.5,4.443,-550.0,0.69,0.0,1357.0,13.605,98.0,50.0,376.0,10.0,1.0,4,0.04693293571472168
09/11/24 12:00:07,242.6,4.613,-39.0,0.05,0.97,241.9,4.549,690.0,0.84,12.6,242.5,4.443,-550.0,0.69,0.0,1357.0,13.605,98.0,50.0,376.0,10.0,1.0,0,0.04700732231140137
09/11/24 12:00:08,242.6,4.613,-39.0,0.05,0.97,241.9,4.549,690.0,0.84,12.6,242.5,4.443,-550.0,0.69,0.0,1357.0,13.605,98.0,50.0,376.0,10.0,1.0,0,0.04011893272399902
09/11/24 12:00:09,242.6,4.613,-39.0,0.05,0.97,241.9,4.549,690.0,0.84,12.6,242.5,4.443,-550.0,0.69,0.0,1357.0,13.605,98.0,50.0,376.0,10.0,1.0,0,0.04887795448303223
09/11/24 12:00:10,242.6,4.613,-39.0,0.05,0.97,241.9,4.549,690.0,0.84,12.6,242.5,4.443,-550.0,0.69,0.0,1357.0,13.605,98.0,50.0,376.0,10.0,1.0,0,0.05043816566467285
09/11/24 12:00:11,242.6,4.613,-39.0,0.05,0.97,241.9,4.549,690.0,0.84,12.6,242.5,4.443,-550.0,0.69,0.0,1357.0,13.605,98.0,50.0,376.0,10.0,1.0,0,0.050199031829833984
09/11/24 12:00:12,242.6,4.613,-130.0,0.05,0.97,241.9,4.549,963.0,0.84,12.6,242.5,4.443,-733.0,0.69,0.0,1357.0,13.605,98.0,50.0,376.0,10.0,1.0,3,0.04563307762145996
09/11/24 12:00:13,242.6,4.613,-130.0,0.05,0.97,241.9,4.549,963.0,0.84,12.6,242.5,4.443,-733.0,0.69,0.0,1357.0,13.605,98.0,50.0,376.0,10.0,1.0,0,0.040541648864746094
09/11/24 12:00:14,242.6,4.613,-130.0,0.12,0.97,241.9,4.549,963.0,0.85,12.6,242.5,4.443,-733.0,0.67,0.0,1357.0,13.605,98.0,50.0,376.0,10.0,1.0,3,0.041501522064208984
09/11/24 12:00:15,242.6,4.613,-130.0,0.12,0.97,241.9,4.549,963.0,0.85,12.6,242.5,4.443,-733.0,0.67,0.0,1357.0,13.605,98.0,50.0,376.0,10.0,1.0,0,0.05246543884277344
09/11/24 12:00:16,242.6,4.613,-130.0,0.12,0.97,241.9,4.549,963.0,0.85,12.61,242.5,4.443,-733.0,0.67,0.0,1358.0,13.605,98.0,50.0,376.0,10.0,1.0,2,0.0542910099029541
09/11/24 12:00:17,242.6,4.613,-130.0,0.12,0.97,241.9,4.549,963.0,0.85,12.61,242.5,4.443,-733.0,0.67,0.0,1358.0,13.605,98.0,50.0,376.0,10.0,1.0,0,0.041837453842163086
