Timestamp,Phase A Voltage V,Phase A current A,Phase A Active Power W,Phase A Power Factor,Phase A Energy Consumed Kw.h,Phase B Voltage V,Phase B current A,Phase B Active Power W,Phase B Power Factor,Phase B Energy Consumed Kw.h,Phase C Voltage V,Phase C current A,Phase C Active Power W,Phase C Power Factor,Phase C Energy Consumed Kw.h,Total Energy Consumed Kw.h,Total Current A,Total Active Power,Frequency,id1,id2,id3,err,elapsed time
09/10/24 17:00:00,243.2,0.0,-1.0,0.0,0.59,241.9,1.957,349.0,0.75,4.16,242.5,2.219,-454.0,0.84,0.0,476.0,4.176,-108.0,50.0,383.0,10.0,1.0,0,0.030758380889892578
09/10/24 17:00:01,243.2,0.0,-1.0,0.0,0.59,241.9,1.957,349.0,0.75,4.16,242.5,2.219,-454.0,0.84,0.0,476.0,4.176,-108.0,50.0,383.0,10.0,1.0,0,0.05045342445373535
09/10/24 17:00:02,243.2,0.0,-1.0,0.0,0.59,241.9,1.957,349.0,0.75,4.16,242.5,2.219,-454.0,0.84,0.0,476.0,4.176,-108.0,50.0,383.0,10.0,1.0,0,0.04361104965209961
09/10/24 17:00:03,243.2,0.0,-1.0,0.0,0.59,241.9,1.957,349.0,0.75,4.16,242.5,2.219,-454.0,0.84,0.0,476.0,4.176,-108.0,50.0,383.0,10.0,1.0,0,0.042283058166503906
09/10/24 17:00:04,243.2,0.0,-1.0,0.0,0.59,241.9,1.957,349.0,0.75,4.16,242.5,2.219,-454.0,0.84,0.0,476.0,4.176,-108.0,50.0,383.0,10.0,1.0,0,0.04598569869995117
09/10/24 17:00:05,243.2,0.0,-1.0,0.0,0.59,241.9,1.957,349.0,0.74,4.16,242.5,2.219,-454.0,0.84,0.0,476.0,4.176,-108.0,50.0,383.0,10.0,1.0,1,0.04961085319519043
09/10/24 17:00:06,243.2,0.0,-1.0,0.0,0.59,241.9,1.957,349.0,0.74,4.16,242.5,2.219,-454.0,0.84,0.0,476.0,4.176,-108.0,50.0,383.0,10.0,1.0,0,0.028734445571899414
09/10/24 17:00:07,243.4,0.0,-1.0,0.0,0.59,241.9,1.957,349.0,0.74,4.16,242.6,2.219,-454.0,0.84,0.0,476.0,4.176,-108.0,50.0,383.0,10.0,1.0,2,0.03783988952636719
09/10/24 17:00:08,243.4,0.0,-1.0,0.0,0.59,241.9,1.957,349.0,0.74,4.16,242.6,2.219,-454.0,0.84,0.0,476.0,4.176,-108.0,50.0,383.0,10.0,1.0,0,0.026782989501953125
09/10/24 17:00:09,243.4,0.0,-1.0,0.0,0.59,241.9,1.949,349.0,0.74,4.16,242.6,2.218,-454.0,0.84,0.0,476.0,4.167,-108.0,50.0,383.0,10.0,1.0,3,0.03278303146362305
09/10/24 17:00:10,243.4,0.0,-1.0,0.0,0.59,241.9,1.949,349.0,0.74,4.16,242.6,2.218,-454.0,0.84,0.0,476.0,4.167,-108.0,50.0,383.0,10.0,1.0,0,0.04393124580383301
09/10/24 17:00:11,243.4,0.0,-1.0,0.0,0.59,241.9,1.949,349.0,0.74,4.16,242.6,2.218,-454.0,0.84,0.0,476.0,4.167,-108.0,50.0,383.0,10.0,1.0,0,0.04679584503173828
09/10/24 17:00:12,243.4,0.0,-1.0,0.0,0.59,241.9,1.949,349.0,0.74,4.16,242.6,2.218,-454.0,0.84,0.0,476.0,4.167,-108.0,50.0,383.0,10.0,1.0,0,0.04052114486694336
09/10/24 17:00:13,243.4,0.0,-1.0,0.0,0.59,241.9,1.949,349.0,0.74,4.16,242.6,2.218,-454.0,0.84,0.0,476.0,4.167,-108.0,50.0,383.0,10.0,1.0,0,0.04476213455200195
09/10/24 17:00:14,243.4,0.0,-1.0,0.0,0.59,241.9,1.949,349.0,0.74,4.16,242.6,2.218,-454.0,0.84,0.0,476.0,4.167,-108.0,50.0,383.0,10.0,1.0,0,0.0384519100189209
09/10/24 17:00:15,243.4,0.0,0.0,0.0,0.59,241.9,1.949,349.0,0.74,4.16,242.6,2.218,-453.0,0.84,0.0,476.0,4.167,-104.0,50.0,383.0,10.0,1.0,3,0.04673647880554199
09/10/24 17:00:16,243.4,0.0,0.0,0.0,0.59,241.9,1.949,349.0,0.74,4.16,242.6,2.218,-453.0,0.84,0.0,476.0,4.167,-104.0,50.0,383.0,10.0,1.0,0,0.048458099365234375
09/10/24 17:00:17,243.4,0.0,0.0,0.0,0.59,241.9,1.949,349.0,0.74,4.16,242.6,2.218,-453.0,0.84,0.0,476.0,4.167,-104.0,50.0,376.0,10.0,1.0,1,0.0470280647277832
09/10/24 17:00:18,243.4,0.0,0.0,0.0,0.59,241.9,1.949,349.0,0.74,4.16,242.6,2.218,-453.0,0.84,0.0,476.0,4.167,-104.0,50.0,376.0,10.0,1.0,0,0.04917764663696289
09/10/24 17:00:19,243.4,0.0,0.0,0.0,0.59,241.9,1.949,349.0,0.74,4.17,242.6,2.218,-453.0,0.84,0.0,476.0,4.167,-104.0,50.0,376.0,10.0,1.0,1,0.04771780967712402
09/10/24 17:00:20,243.4,0.0,0.0,0.0,0.59,241.9,1.949,349.0,0.74,4.17,242.6,2.218,-453.0,0.84,0.0,476.0,4.167,-104.0,50.0,376.0,10.0,1.0,0,0.045356035232543945
09/10/24 17:00:21,243.4,0.0,0.0,0.0,0.59,241.9,1.949,349.0,0.74,4.17,242.6,2.218,-453.0,0.84,0.0,476.0,4.167,-104.0,50.0,376.0,10.0,1.0,0,0.04912281036376953
09/10/24 17:00:22,243.2,0.0,0.0,0.0,0.59,241.9,1.949,349.0,0.74,4.17,242.5,2.218,-453.0,0.84,0.0,476.0,4.167,-104.0,50.0,376.0,10.0,1.0,2,0.04726386070251465
09/10/24 17:00:23,243.2,0.0,0.0,0.0,0.59,241.9,1.949,349.0,0.74,4.17,242.5,2.218,-453.0,0.84,0.0,476.0,4.167,-104.0,50.0,376.0,10.0,1.0,0,0.049706220626831055
09/10/24 17:00:24,243.2,1.899,0.0,0.0,0.59,241.9,1.968,349.0,0.74,4.17,242.5,2.197,-453.0,0.84,0.0,476.0,6.064,-104.0,50.0,376.0,10.0,1.0,4,0.04326200485229492
09/10/24 17:00:25,243.2,1.899,0.0,0.0,0.59,241.9,1.968,349.0,0.74,4.17,242.5,2.197,-453.0,0.84,0.0,476.0,6.064,-104.0,50.0,376.0,10.0,1.0,0,0.05155444145202637
09/10/24 17:00:26,243.2,1.899,0.0,0.0,0.59,241.9,1.968,349.0,0.74,4.17,242.5,2.197,-453.0,0.84,0.0,476.0,6.064,-104.0,50.0,376.0,10.0,1.0,0,0.047165870666503906
09/10/24 17:00:27,243.2,1.899,0.0,0.0,0.59,241.9,1.968,349.0,0.74,4.17,242.5,2.197,-453.0,0.84,0.0,476.0,6.064,-104.0,50.0,376.0,10.0,1.0,0,0.04485344886779785
09/10/24 17:00:28,243.2,1.899,0.0,0.0,0.59,241.9,1.968,349.0,0.74,4.17,242.5,2.197,-453.0,0.84,0.0,476.0,6.064,-104.0,50.0,376.0,10.0,1.0,0,0.052091121673583984
09/10/24 17:00:29,243.2,1.899,0.0,0.0,0.59,241.9,1.968,352.0,0.74,4.17,242.5,2.197,-450.0,0.84,0.0,476.0,6.064,-98.0,50.0,376.0,10.0,1.0,3,0.047339439392089844
09/10/24 17:00:30,243.2,1.899,0.0,0.0,0.59,241.9,1.968,352.0,0.74,4.17,242.5,2.197,-450.0,0.84,0.0,476.0,6.064,-98.0,50.0,376.0,10.0,1.0,0,0.03070998191833496
09/10/24 17:00:31,243.2,1.899,0.0,0.0,0.59,241.9,1.968,352.0,0.74,4.17,242.5,2.197,-450.0,0.84,0.0,476.0,6.064,-98.0,50.0,376.0,10.0,1.0,0,0.04645371437072754
09/10/24 17:00:32,243.2,1.899,0.0,0.0,0.59,241.9,1.968,352.0,0.74,4.17,242.5,2.197,-450.0,0.84,0.0,476.0,6.064,-98.0,50.0,376.0,10.0,1.0,0,0.04212188720703125
09/10/24 17:00:33,243.2,1.899,0.0,0.0,0.59,241.9,1.968,352.0,0.74,4.17,242.5,2.197,-450.0,0.84,0.0,476.0,6.064,-98.0,50.0,376.0,10.0,1.0,0,0.048758506774902344
09/10/24 17:00:34,243.2,1.899,0.0,0.0,0.59,241.9,1.968,352.0,0.74,4.17,242.5,2.197,-450.0,0.84,0.0,476.0,6.064,-98.0,50.0,376.0,10.0,1.0,0,0.03784370422363281
09/10/24 17:00:35,243.2,1.899,0.0,0.01,0.59,241.9,1.968,352.0,0.74,4.17,242.5,2.197,-450.0,0.84,0.0,476.0,6.064,-98.0,50.0,376.0,10.0,1.0,1,0.04771256446838379
09/10/24 17:00:36,243.2,1.899,0.0,0.01,0.59,241.9,1.968,352.0,0.74,4.17,242.5,2.197,-450.0,0.84,0.0,476.0,6.064,-98.0,50.0,376.0,10.0,1.0,0,0.04776597023010254
09/10/24 17:00:37,243.2,1.899,0.0,0.01,0.59,241.9,1.968,352.0,0.74,4.17,242.5,2.197,-450.0,0.84,0.0,476.0,6.064,-98.0,50.0,376.0,10.0,1.0,1,0.04344058036804199
09/10/24 17:00:38,243.2,1.899,0.0,0.01,0.59,241.9,1.968,352.0,0.74,4.17,242.5,2.197,-450.0,0.84,0.0,476.0,6.064,-98.0,50.0,376.0,10.0,1.0,0,0.04521965980529785
09/10/24 17:00:39,243.5,1.899,0.0,0.01,0.59,242.0,1.968,352.0,0.74,4.17,242.5,2.197,-450.0,0.84,0.0,476.0,6.064,-98.0,50.0,376.0,10.0,1.0,2,0.04737401008605957
09/10/24 17:00:40,243.5,1.899,0.0,0.01,0.59,242.0,1.968,352.0,0.74,4.17,242.5,2.197,-450.0,0.84,0.0,476.0,6.064,-98.0,50.0,376.0,10.0,1.0,0,0.02762603759765625
09/10/24 17:00:41,243.5,1.899,0.0,0.01,0.59,242.0,1.968,352.0,0.74,4.17,242.5,2.197,-450.0,0.84,0.0,476.0,6.064,-98.0,50.0,376.0,10.0,1.0,0,0.04811859130859375
09/10/24 17:00:42,243.5,1.899,0.0,0.01,0.59,242.0,1.968,352.0,0.74,4.17,242.5,2.197,-450.0,0.84,0.0,476.0,6.064,-98.0,50.0,376.0,10.0,1.0,0,0.04579567909240723
09/10/24 17:00:43,243.5,1.899,0.0,0.01,0.59,242.0,1.968,352.0,0.74,4.17,242.5,2.197,-450.0,0.84,0.0,476.0,6.064,-98.0,50.0,376.0,10.0,1.0,0,0.04960203170776367
09/10/24 17:00:44,243.5,0.0,0.0,0.01,0.59,242.0,1.965,352.0,0.74,4.17,242.5,2.219,-450.0,0.84,0.0,476.0,4.184,-98.0,50.0,376.0,10.0,1.0,4,0.048233985900878906
09/10/24 17:00:45,243.5,0.0,0.0,0.01,0.59,242.0,1.965,352.0,0.74,4.17,242.5,2.219,-450.0,0.84,0.0,476.0,4.184,-98.0,50.0,376.0,10.0,1.0,0,0.034644126892089844
09/10/24 17:00:46,243.5,0.0,0.0,0.01,0.59,242.0,1.965,352.0,0.74,4.17,242.5,2.219,-450.0,0.84,0.0,476.0,4.184,-98.0,50.0,376.0,10.0,1.0,0,0.049141883850097656
09/10/24 17:00:47,243.5,0.0,0.0,0.01,0.59,242.0,1.965,352.0,0.74,4.17,242.5,2.219,-452.0,0.84,0.0,476.0,4.184,-100.0,50.0,376.0,10.0,1.0,2,0.048278093338012695
09/10/24 17:00:48,243.5,0.0,0.0,0.01,0.59,242.0,1.965,352.0,0.74,4.17,242.5,2.219,-452.0,0.84,0.0,476.0,4.184,-100.0,50.0,376.0,10.0,1.0,0,0.04891061782836914
09/10/24 17:00:49,243.5,0.0,0.0,0.0,0.59,242.0,1.965,352.0,0.74,4.17,242.5,2.219,-452.0,0.84,0.0,476.0,4.184,-100.0,50.0,383.0,10.0,1.0,2,0.0454409122467041
09/10/24 17:00:50,243.5,0.0,0.0,0.0,0.59,242.0,1.965,352.0,0.74,4.17,242.5,2.219,-452.0,0.84,0.0,476.0,4.184,-100.0,50.0,383.0,10.0,1.0,0,0.04853391647338867
09/10/24 17:00:51,243.5,0.0,0.0,0.0,0.59,242.0,1.965,352.0,0.74,4.17,242.5,2.219,-452.0,0.84,0.0,476.0,4.184,-100.0,50.0,383.0,10.0,1.0,1,0.04836297035217285
09/10/24 17:00:52,243.5,0.0,0.0,0.0,0.59,242.0,1.965,352.0,0.74,4.17,242.5,2.219,-452.0,0.84,0.0,476.0,4.184,-100.0,50.0,383.0,10.0,1.0,0,0.048639535903930664
09/10/24 17:00:53,243.5,0.0,0.0,0.0,0.59,242.0,1.965,352.0,0.74,4.17,242.5,2.219,-452.0,0.84,0.0,476.0,4.184,-100.0,50.0,383.0,10.0,1.0,0,0.038739919662475586
09/10/24 17:00:54,243.5,0.0,0.0,0.0,0.59,241.9,1.965,352.0,0.74,4.17,242.6,2.219,-452.0,0.84,0.0,476.0,4.184,-100.0,50.0,383.0,10.0,1.0,2,0.04852867126464844
09/10/24 17:00:55,243.5,0.0,0.0,0.0,0.59,241.9,1.965,352.0,0.74,4.17,242.6,2.219,-452.0,0.84,0.0,476.0,4.184,-100.0,50.0,383.0,10.0,1.0,0,0.047924041748046875
09/10/24 17:00:56,243.5,0.0,0.0,0.0,0.59,241.9,1.965,352.0,0.74,4.17,242.6,2.219,-452.0,0.84,0.0,476.0,4.184,-100.0,50.0,383.0,10.0,1.0,0,0.04947352409362793
09/10/24 17:00:57,243.5,0.0,0.0,0.0,0.59,241.9,1.965,352.0,0.74,4.17,242.6,2.219,-452.0,0.84,0.0,476.0,4.184,-100.0,50.0,383.0,10.0,1.0,0,0.03762245178222656
09/10/24 17:00:58,243.5,0.0,0.0,0.0,0.59,241.9,1.964,352.0,0.74,4.17,242.6,2.222,-452.0,0.84,0.0,476.0,4.186,-100.0,50.0,383.0,10.0,1.0,3,0.0449681282043457
09/10/24 17:00:59,243.5,0.0,0.0,0.0,0.59,241.9,1.964,352.0,0.74,4.17,242.6,2.222,-452.0,0.84,0.0,476.0,4.186,-100.0,50.0,383.0,10.0,1.0,0,0.04817771911621094
09/10/24 17:01:00,243.5,0.0,0.0,0.0,0.59,241.9,1.964,352.0,0.74,4.17,242.6,2.222,-452.0,0.84,0.0,476.0,4.186,-100.0,50.0,383.0,10.0,1.0,0,0.04763078689575195
09/10/24 17:01:01,243.5,0.0,0.0,0.0,0.59,241.9,1.964,352.0,0.74,4.17,242.6,2.222,-452.0,0.84,0.0,476.0,4.186,-100.0,50.0,383.0,10.0,1.0,0,0.0418856143951416
09/10/24 17:01:02,243.5,0.0,0.0,0.0,0.59,241.9,1.964,352.0,0.74,4.17,242.6,2.222,-452.0,0.84,0.0,476.0,4.186,-100.0,50.0,383.0,10.0,1.0,0,0.04137587547302246
09/10/24 17:01:03,243.5,0.0,0.0,0.0,0.59,241.9,1.964,352.0,0.74,4.17,242.6,2.222,-452.0,0.84,0.0,476.0,4.186,-100.0,50.0,383.0,10.0,1.0,0,0.04555463790893555
09/10/24 17:01:04,243.5,0.0,0.0,0.0,0.59,241.9,1.964,349.0,0.74,4.17,242.6,2.222,-453.0,0.84,0.0,476.0,4.186,-104.0,50.0,383.0,10.0,1.0,3,0.04863381385803223
09/10/24 17:01:05,243.5,0.0,0.0,0.0,0.59,241.9,1.964,349.0,0.74,4.17,242.6,2.222,-453.0,0.84,0.0,476.0,4.186,-104.0,50.0,383.0,10.0,1.0,0,0.0434262752532959
09/10/24 17:01:06,243.5,0.0,0.0,0.0,0.59,241.9,1.964,349.0,0.74,4.17,242.6,2.222,-453.0,0.84,0.0,476.0,4.186,-104.0,50.0,383.0,10.0,1.0,0,0.049231529235839844
09/10/24 17:01:07,243.5,0.0,0.0,0.0,0.59,241.9,1.964,349.0,0.74,4.17,242.6,2.222,-453.0,0.84,0.0,476.0,4.186,-104.0,50.0,383.0,10.0,1.0,0,0.02716803550720215
09/10/24 17:01:08,243.5,0.0,0.0,0.0,0.59,241.9,1.964,349.0,0.74,4.17,242.6,2.222,-453.0,0.84,0.0,476.0,4.186,-104.0,50.0,383.0,10.0,1.0,0,0.04308032989501953
09/10/24 17:01:09,243.5,0.0,0.0,0.0,0.59,241.9,1.964,349.0,0.74,4.17,242.6,2.222,-453.0,0.84,0.0,476.0,4.186,-104.0,50.0,383.0,10.0,1.0,0,0.05153703689575195
09/10/24 17:01:10,243.5,0.0,0.0,0.0,0.59,241.9,1.964,349.0,0.74,4.17,242.6,2.222,-453.0,0.84,0.0,476.0,4.186,-104.0,50.0,383.0,10.0,1.0,0,0.04738569259643555
09/10/24 17:01:11,243.5,0.0,0.0,0.0,0.59,241.9,1.964,349.0,0.74,4.17,242.6,2.222,-453.0,0.84,0.0,476.0,4.186,-104.0,50.0,383.0,10.0,1.0,0,0.04847550392150879
09/10/24 17:01:12,243.4,0.0,0.0,0.0,0.59,241.9,1.964,349.0,0.74,4.17,242.6,2.222,-453.0,0.84,0.0,476.0,4.186,-104.0,50.0,383.0,10.0,1.0,1,0.01042318344116211
09/10/24 17:01:13,243.4,0.0,0.0,0.0,0.59,241.9,1.964,349.0,0.74,4.17,242.6,2.222,-453.0,0.84,0.0,476.0,4.186,-104.0,50.0,383.0,10.0,1.0,0,0.04672122001647949
09/10/24 17:01:14,243.4,0.0,0.0,0.0,0.59,241.9,1.964,349.0,0.74,4.17,242.6,2.222,-453.0,0.84,0.0,476.0,4.186,-104.0,50.0,383.0,10.0,1.0,0,0.04319429397583008
09/10/24 17:01:15,243.4,0.0,0.0,0.0,0.59,241.9,1.964,349.0,0.74,4.17,242.6,2.222,-453.0,0.84,0.0,476.0,4.186,-104.0,50.0,383.0,10.0,1.0,0,0.04306197166442871
09/10/24 17:01:16,243.4,1.917,0.0,0.0,0.59,241.9,1.988,349.0,0.74,4.17,242.6,2.238,-453.0,0.84,0.0,476.0,6.143,-104.0,50.0,383.0,10.0,1.0,4,0.040418148040771484
09/10/24 17:01:17,243.4,1.917,0.0,0.0,0.59,241.9,1.988,349.0,0.74,4.17,242.6,2.238,-453.0,0.84,0.0,476.0,6.143,-104.0,50.0,383.0,10.0,1.0,0,0.04343891143798828
09/10/24 17:01:18,243.4,1.917,0.0,0.0,0.59,241.9,1.988,349.0,0.74,4.17,242.6,2.238,-453.0,0.84,0.0,476.0,6.143,-104.0,50.0,383.0,10.0,1.0,0,0.18424391746520996
09/10/24 17:01:19,243.4,1.917,0.0,0.0,0.59,241.9,1.988,349.0,0.74,4.17,242.6,2.238,-453.0,0.84,0.0,476.0,6.143,-104.0,50.0,383.0,10.0,1.0,0,0.030165910720825195
09/10/24 17:01:20,243.4,1.917,-2.0,0.0,0.59,241.9,1.988,354.0,0.74,4.17,242.6,2.238,-455.0,0.84,0.0,476.0,6.143,-105.0,50.0,383.0,10.0,1.0,4,0.037810564041137695
09/10/24 17:01:21,243.4,1.917,-2.0,0.0,0.59,241.9,1.988,354.0,0.74,4.17,242.6,2.238,-455.0,0.84,0.0,476.0,6.143,-105.0,50.0,383.0,10.0,1.0,0,0.03994345664978027
09/10/24 17:01:22,243.4,1.917,-2.0,0.0,0.59,241.9,1.988,354.0,0.74,4.17,242.6,2.238,-455.0,0.84,0.0,476.0,6.143,-105.0,50.0,383.0,10.0,1.0,0,0.03372502326965332
09/10/24 17:01:23,243.4,1.917,-2.0,0.0,0.59,241.9,1.988,354.0,0.74,4.17,242.6,2.238,-455.0,0.84,0.0,476.0,6.143,-105.0,50.0,383.0,10.0,1.0,0,0.042238712310791016
09/10/24 17:01:24,243.4,1.917,-2.0,0.0,0.59,242.0,1.988,354.0,0.74,4.17,242.6,2.238,-455.0,0.84,0.0,476.0,6.143,-105.0,50.0,383.0,10.0,1.0,1,0.03798842430114746
09/10/24 17:01:25,243.4,1.917,-2.0,0.0,0.59,242.0,1.988,354.0,0.74,4.17,242.6,2.238,-455.0,0.84,0.0,476.0,6.143,-105.0,50.0,383.0,10.0,1.0,0,0.04810667037963867
09/10/24 17:01:26,243.4,1.917,-2.0,0.0,0.59,242.0,1.988,354.0,0.74,4.17,242.6,2.238,-455.0,0.84,0.0,476.0,6.143,-105.0,50.0,383.0,10.0,1.0,0,0.05151247978210449
09/10/24 17:01:27,243.4,1.917,-2.0,0.0,0.59,242.0,1.988,354.0,0.74,4.17,242.6,2.238,-455.0,0.84,0.0,476.0,6.143,-105.0,50.0,383.0,10.0,1.0,0,0.0462346076965332
09/10/24 17:01:28,243.4,1.917,-2.0,0.0,0.59,242.0,1.988,354.0,0.74,4.17,242.6,2.238,-455.0,0.84,0.0,476.0,6.143,-105.0,50.0,383.0,10.0,1.0,0,0.04908943176269531
09/10/24 17:01:29,243.4,0.0,-2.0,0.0,0.59,242.0,2.002,354.0,0.74,4.17,242.6,2.239,-455.0,0.84,0.0,476.0,4.241,-105.0,50.0,383.0,10.0,1.0,4,0.04802560806274414
09/10/24 17:01:30,243.4,0.0,-2.0,0.0,0.59,242.0,2.002,354.0,0.74,4.17,242.6,2.239,-455.0,0.84,0.0,476.0,4.241,-105.0,50.0,383.0,10.0,1.0,0,0.046039581298828125
09/10/24 17:01:31,243.4,0.0,0.0,0.0,0.59,242.0,2.002,359.0,0.74,4.17,242.6,2.239,-453.0,0.84,0.0,476.0,4.241,-94.0,50.0,383.0,10.0,1.0,4,0.042362213134765625
09/10/24 17:01:32,243.4,0.0,0.0,0.0,0.59,242.0,2.002,359.0,0.74,4.17,242.6,2.239,-453.0,0.84,0.0,476.0,4.241,-94.0,50.0,383.0,10.0,1.0,0,0.04417896270751953
09/10/24 17:01:33,243.4,0.0,0.0,0.0,0.59,242.0,2.002,359.0,0.74,4.17,242.6,2.239,-453.0,0.84,0.0,476.0,4.241,-94.0,50.0,383.0,10.0,1.0,0,0.048885345458984375
09/10/24 17:01:34,243.4,0.0,0.0,0.0,0.59,242.0,2.002,359.0,0.74,4.17,242.6,2.239,-453.0,0.84,0.0,476.0,4.241,-94.0,50.0,383.0,10.0,1.0,0,0.0527195930480957
09/10/24 17:01:35,243.4,0.0,0.0,0.0,0.59,242.0,2.002,359.0,0.74,4.17,242.6,2.239,-453.0,0.84,0.0,476.0,4.241,-94.0,50.0,383.0,10.0,1.0,0,0.049256324768066406
09/10/24 17:01:36,243.4,0.0,0.0,0.0,0.59,242.0,2.002,359.0,0.74,4.17,242.6,2.239,-453.0,0.84,0.0,476.0,4.241,-94.0,50.0,390.0,10.0,1.0,1,0.052475929260253906
