Timestamp,Phase A Voltage V,Phase A current A,Phase A Active Power W,Phase A Power Factor,Phase A Energy Consumed Kw.h,Phase B Voltage V,Phase B current A,Phase B Active Power W,Phase B Power Factor,Phase B Energy Consumed Kw.h,Phase C Voltage V,Phase C current A,Phase C Active Power W,Phase C Power Factor,Phase C Energy Consumed Kw.h,Total Energy Consumed Kw.h,Total Current A,Total Active Power,Frequency,id1,id2,id3,err,elapsed time
09/10/24 14:00:00,242.3,6.866,1085.0,0.65,280.25,241.2,6.731,1023.0,0.63,324.27,242.0,6.609,1054.0,0.66,386.2,99074.0,20.206,3161.0,50.0,426.0,0.0,0.0,0,0.026758909225463867
09/10/24 14:00:01,242.3,6.866,1085.0,0.65,280.25,241.2,6.731,1023.0,0.63,324.27,242.0,6.609,1054.0,0.66,386.2,99074.0,20.206,3161.0,50.0,426.0,0.0,0.0,0,0.03297567367553711
09/10/24 14:00:02,242.3,6.866,1085.0,0.65,280.25,241.2,6.731,1023.0,0.63,324.27,242.0,6.609,1054.0,0.66,386.2,99074.0,20.206,3161.0,50.0,426.0,0.0,0.0,0,0.026839733123779297
09/10/24 14:00:03,242.3,6.866,1089.0,0.65,280.25,241.2,6.731,1024.0,0.63,324.27,242.0,6.609,1059.0,0.66,386.2,99074.0,20.206,3172.0,50.0,426.0,0.0,0.0,4,0.02392864227294922
09/10/24 14:00:04,242.3,6.866,1089.0,0.65,280.25,241.2,6.731,1024.0,0.63,324.27,242.0,6.609,1059.0,0.66,386.2,99074.0,20.206,3172.0,50.0,426.0,0.0,0.0,0,0.03673958778381348
09/10/24 14:00:05,242.3,6.866,1089.0,0.65,280.25,241.2,6.731,1024.0,0.63,324.27,242.0,6.609,1059.0,0.66,386.2,99074.0,20.206,3172.0,50.0,426.0,0.0,0.0,0,0.02636861801147461
09/10/24 14:00:06,242.3,6.866,1089.0,0.65,280.25,241.2,6.731,1024.0,0.63,324.27,242.0,6.609,1059.0,0.66,386.2,99074.0,20.206,3172.0,50.0,426.0,0.0,0.0,0,0.0336003303527832
09/10/24 14:00:07,242.3,6.866,1089.0,0.65,280.25,241.2,6.731,1024.0,0.63,324.27,242.0,6.609,1059.0,0.66,386.2,99074.0,20.206,3172.0,50.0,426.0,0.0,0.0,0,0.03581643104553223
09/10/24 14:00:08,242.3,6.866,1089.0,0.65,280.25,241.2,6.731,1024.0,0.63,324.27,242.0,6.609,1059.0,0.66,386.2,99074.0,20.206,3172.0,50.0,426.0,0.0,0.0,0,0.0363616943359375
09/10/24 14:00:09,242.3,6.866,1089.0,0.65,280.25,241.2,6.731,1024.0,0.63,324.27,242.0,6.609,1059.0,0.66,386.2,99074.0,20.206,3172.0,50.0,426.0,0.0,0.0,0,0.0265805721282959
09/10/24 14:00:10,242.3,6.866,1089.0,0.65,280.25,241.2,6.731,1024.0,0.63,324.27,242.0,6.609,1059.0,0.66,386.2,99074.0,20.206,3172.0,50.0,426.0,0.0,0.0,0,0.035845279693603516
09/10/24 14:00:11,242.3,6.866,1089.0,0.65,280.25,241.2,6.731,1024.0,0.63,324.27,242.0,6.609,1059.0,0.66,386.2,99074.0,20.206,3172.0,50.0,426.0,0.0,0.0,0,0.03457188606262207
09/10/24 14:00:12,242.3,6.866,1089.0,0.65,280.26,241.2,6.731,1024.0,0.63,324.27,242.0,6.609,1059.0,0.66,386.2,99074.0,20.206,3172.0,50.0,426.0,0.0,0.0,1,0.038686275482177734
09/10/24 14:00:13,242.3,6.866,1089.0,0.65,280.26,241.2,6.731,1024.0,0.63,324.27,242.0,6.609,1059.0,0.66,386.2,99074.0,20.206,3172.0,50.0,426.0,0.0,0.0,0,0.024187564849853516
09/10/24 14:00:15,242.1,6.866,1089.0,0.65,280.26,241.0,6.731,1024.0,0.63,324.27,241.7,6.609,1059.0,0.66,386.2,99074.0,20.206,3172.0,50.0,426.0,0.0,0.0,3,0.032955169677734375
09/10/24 14:00:16,242.1,6.866,1089.0,0.65,280.26,241.0,6.731,1024.0,0.63,324.27,241.7,6.609,1059.0,0.66,386.2,99074.0,20.206,3172.0,50.0,426.0,0.0,0.0,0,0.03475666046142578
09/10/24 14:00:17,242.1,6.86,1089.0,0.65,280.26,241.0,6.714,1024.0,0.63,324.27,241.7,6.601,1059.0,0.66,386.2,99074.0,20.175,3172.0,50.0,426.0,0.0,0.0,4,0.03386998176574707
09/10/24 14:00:18,242.1,6.86,1089.0,0.65,280.26,241.0,6.714,1024.0,0.63,324.27,241.7,6.601,1059.0,0.66,386.2,99074.0,20.175,3172.0,50.0,426.0,0.0,0.0,0,0.03491997718811035
09/10/24 14:00:19,242.1,6.86,1089.0,0.65,280.26,241.0,6.714,1024.0,0.63,324.27,241.7,6.601,1059.0,0.66,386.2,99074.0,20.175,3172.0,50.0,426.0,0.0,0.0,0,0.0345456600189209
09/10/24 14:00:20,242.1,6.86,1089.0,0.65,280.26,241.0,6.714,1024.0,0.63,324.27,241.7,6.601,1059.0,0.66,386.2,99074.0,20.175,3172.0,50.0,426.0,0.0,0.0,0,0.04182624816894531
09/10/24 14:00:21,242.1,6.86,1082.0,0.65,280.26,241.0,6.714,1027.0,0.63,324.27,241.7,6.601,1058.0,0.66,386.2,99074.0,20.175,3167.0,50.0,426.0,0.0,0.0,4,0.03625607490539551
09/10/24 14:00:22,242.1,6.86,1082.0,0.65,280.26,241.0,6.714,1027.0,0.63,324.27,241.7,6.601,1058.0,0.66,386.2,99074.0,20.175,3167.0,50.0,426.0,0.0,0.0,0,0.027391910552978516
09/10/24 14:00:23,242.1,6.86,1082.0,0.65,280.26,241.0,6.714,1027.0,0.63,324.27,241.7,6.601,1058.0,0.66,386.2,99074.0,20.175,3167.0,50.0,426.0,0.0,0.0,0,0.032351016998291016
09/10/24 14:00:24,242.1,6.86,1082.0,0.65,280.26,241.0,6.714,1027.0,0.64,324.27,241.7,6.601,1058.0,0.66,386.2,99074.0,20.175,3167.0,50.0,419.0,0.0,0.0,2,0.0379338264465332
09/10/24 14:00:25,242.1,6.86,1082.0,0.65,280.26,241.0,6.714,1027.0,0.64,324.27,241.7,6.601,1058.0,0.66,386.2,99074.0,20.175,3167.0,50.0,419.0,0.0,0.0,0,0.10078191757202148
09/10/24 14:00:26,242.1,6.86,1082.0,0.65,280.26,241.0,6.714,1027.0,0.64,324.27,241.7,6.601,1058.0,0.66,386.2,99074.0,20.175,3167.0,50.0,419.0,0.0,0.0,0,0.03258514404296875
09/10/24 14:00:27,242.1,6.86,1082.0,0.65,280.26,241.0,6.714,1027.0,0.64,324.27,241.7,6.601,1058.0,0.66,386.2,99074.0,20.175,3167.0,50.0,419.0,0.0,0.0,0,0.037194252014160156
09/10/24 14:00:28,242.1,6.86,1082.0,0.65,280.26,241.0,6.714,1027.0,0.64,324.28,241.7,6.601,1058.0,0.66,386.21,99075.0,20.175,3167.0,50.0,419.0,0.0,0.0,3,0.038976192474365234
09/10/24 14:00:29,242.1,6.86,1082.0,0.65,280.26,241.0,6.714,1027.0,0.64,324.28,241.7,6.601,1058.0,0.66,386.21,99075.0,20.175,3167.0,50.0,419.0,0.0,0.0,0,0.03500103950500488
09/10/24 14:00:30,242.1,6.86,1082.0,0.65,280.26,241.0,6.714,1027.0,0.64,324.28,241.7,6.601,1058.0,0.66,386.21,99075.0,20.175,3167.0,50.0,419.0,0.0,0.0,0,0.03252720832824707
09/10/24 14:00:31,242.1,6.86,1082.0,0.65,280.26,241.0,6.714,1027.0,0.64,324.28,241.7,6.601,1058.0,0.66,386.21,99075.0,20.175,3167.0,50.0,419.0,0.0,0.0,0,0.042165517807006836
09/10/24 14:00:32,242.1,6.86,1082.0,0.65,280.26,241.0,6.714,1027.0,0.64,324.28,241.7,6.601,1058.0,0.66,386.21,99075.0,20.175,3167.0,50.0,419.0,0.0,0.0,0,0.0382542610168457
