2024-08-29 13:48:47,291:INFO:Data retrieved from device: {'dps': {'101': 2431, '102': 6466, '103': 951, '104': 61, '106': 17830, '111': 2423, '112': 6475, '113': 955, '114': 61, '116': 22185, '121': 2433, '122': 6460, '123': 948, '124': 61, '126': 28893, '131': 68909, '132': 19401, '133': 2854, '135': 50, '136': 383, '137': 0, '138': '1'}}
2024-08-29 13:48:48,424:INFO:Data retrieved from device: {'dps': {'101': 2431, '102': 6466, '103': 951, '104': 61, '106': 17830, '111': 2423, '112': 6475, '113': 945, '114': 61, '116': 22185, '121': 2433, '122': 6460, '123': 958, '124': 61, '126': 28893, '131': 68909, '132': 19401, '133': 2854, '135': 50, '136': 383, '137': 0, '138': '1'}}
2024-08-29 13:48:49,491:INFO:Data retrieved from device: {'dps': {'101': 2431, '102': 6466, '103': 951, '104': 61, '106': 17830, '111': 2423, '112': 6475, '113': 945, '114': 61, '116': 22185, '121': 2433, '122': 6460, '123': 958, '124': 61, '126': 28893, '131': 68909, '132': 19401, '133': 2854, '135': 50, '136': 383, '137': 0, '138': '1'}}
2024-08-29 13:48:50,573:INFO:Data retrieved from device: {'dps': {'101': 2431, '102': 6466, '103': 951, '104': 61, '106': 17830, '111': 2423, '112': 6475, '113': 945, '114': 60, '116': 22185, '121': 2433, '122': 6460, '123': 958, '124': 61, '126': 28893, '131': 68909, '132': 19401, '133': 2854, '135': 50, '136': 383, '137': 0, '138': '1'}}
2024-08-29 13:48:51,640:INFO:Data retrieved from device: {'dps': {'101': 2431, '102': 6466, '103': 951, '104': 61, '106': 17830, '111': 2423, '112': 6475, '113': 945, '114': 60, '116': 22185, '121': 2433, '122': 6460, '123': 958, '124': 61, '126': 28893, '131': 68909, '132': 19401, '133': 2854, '135': 50, '136': 383, '137': 0, '138': '1'}}
2024-08-29 13:48:52,707:INFO:Data retrieved from device: {'dps': {'101': 2431, '102': 6466, '103': 951, '104': 61, '106': 17831, '111': 2423, '112': 6475, '113': 945, '114': 60, '116': 22185, '121': 2433, '122': 6460, '123': 958, '124': 61, '126': 28893, '131': 68909, '132': 19401, '133': 2854, '135': 50, '136': 383, '137': 0, '138': '1'}}
2024-08-29 13:48:53,839:INFO:Data retrieved from device: {'dps': {'101': 2431, '102': 6466, '103': 951, '104': 61, '106': 17831, '111': 2423, '112': 6475, '113': 945, '114': 60, '116': 22185, '121': 2433, '122': 6460, '123': 958, '124': 61, '126': 28893, '131': 68909, '132': 19401, '133': 2854, '135': 50, '136': 383, '137': 0, '138': '1'}}
2024-08-29 13:48:54,922:INFO:Data retrieved from device: {'dps': {'101': 2432, '102': 6466, '103': 951, '104': 61, '106': 17831, '111': 2425, '112': 6475, '113': 945, '114': 60, '116': 22185, '121': 2435, '122': 6460, '123': 958, '124': 61, '126': 28893, '131': 68909, '132': 19401, '133': 2854, '135': 50, '136': 383, '137': 0, '138': '1'}}
2024-08-29 13:48:56,038:INFO:Data retrieved from device: {'dps': {'101': 2432, '102': 6466, '103': 951, '104': 61, '106': 17831, '111': 2425, '112': 6475, '113': 945, '114': 60, '116': 22185, '121': 2435, '122': 6460, '123': 958, '124': 61, '126': 28893, '131': 68909, '132': 19401, '133': 2854, '135': 50, '136': 383, '137': 0, '138': '1'}}
2024-08-29 13:48:58,183:INFO:Data retrieved from device: {'dps': {'101': 2432, '102': 6448, '103': 951, '104': 61, '106': 17831, '111': 2425, '112': 6506, '113': 945, '114': 60, '116': 22185, '121': 2435, '122': 6477, '123': 958, '124': 61, '126': 28893, '131': 68909, '132': 19431, '133': 2854, '135': 50, '136': 383, '137': 0, '138': '1'}}
2024-08-29 13:48:59,269:INFO:Data retrieved from device: {'dps': {'101': 2432, '102': 6448, '103': 951, '104': 61, '106': 17831, '111': 2425, '112': 6506, '113': 956, '114': 60, '116': 22185, '121': 2435, '122': 6477, '123': 956, '124': 61, '126': 28893, '131': 68909, '132': 19431, '133': 2863, '135': 50, '136': 383, '137': 0, '138': '1'}}
2024-08-29 13:49:00,436:INFO:Data retrieved from device: {'dps': {'101': 2432, '102': 6448, '103': 951, '104': 61, '106': 17831, '111': 2425, '112': 6506, '113': 956, '114': 61, '116': 22185, '121': 2435, '122': 6477, '123': 956, '124': 61, '126': 28893, '131': 68909, '132': 19431, '133': 2863, '135': 50, '136': 390, '137': 0, '138': '1'}}
2024-08-29 13:49:01,567:INFO:Data retrieved from device: {'dps': {'101': 2432, '102': 6448, '103': 951, '104': 61, '106': 17831, '111': 2425, '112': 6506, '113': 956, '114': 61, '116': 22185, '121': 2435, '122': 6477, '123': 956, '124': 61, '126': 28893, '131': 68909, '132': 19431, '133': 2863, '135': 50, '136': 390, '137': 0, '138': '1'}}
2024-08-29 13:49:02,648:INFO:Data retrieved from device: {'dps': {'101': 2432, '102': 6448, '103': 951, '104': 61, '106': 17831, '111': 2425, '112': 6506, '113': 956, '114': 61, '116': 22185, '121': 2435, '122': 6477, '123': 956, '124': 61, '126': 28893, '131': 68910, '132': 19431, '133': 2863, '135': 50, '136': 390, '137': 0, '138': '1'}}
2024-08-29 13:49:03,752:INFO:Data retrieved from device: {'dps': {'101': 2432, '102': 6448, '103': 951, '104': 61, '106': 17831, '111': 2425, '112': 6506, '113': 956, '114': 61, '116': 22185, '121': 2435, '122': 6477, '123': 956, '124': 61, '126': 28893, '131': 68910, '132': 19431, '133': 2863, '135': 50, '136': 390, '137': 0, '138': '1'}}
2024-08-29 13:49:04,883:INFO:Data retrieved from device: {'dps': {'101': 2432, '102': 6448, '103': 951, '104': 61, '106': 17831, '111': 2425, '112': 6506, '113': 956, '114': 61, '116': 22185, '121': 2435, '122': 6477, '123': 956, '124': 61, '126': 28893, '131': 68910, '132': 19431, '133': 2863, '135': 50, '136': 390, '137': 0, '138': '1'}}
2024-08-29 13:49:05,967:INFO:Data retrieved from device: {'dps': {'101': 2432, '102': 6448, '103': 951, '104': 61, '106': 17831, '111': 2425, '112': 6506, '113': 956, '114': 61, '116': 22185, '121': 2435, '122': 6477, '123': 956, '124': 61, '126': 28893, '131': 68910, '132': 19431, '133': 2863, '135': 50, '136': 390, '137': 0, '138': '1'}}
2024-08-29 13:49:07,037:INFO:Data retrieved from device: {'dps': {'101': 2432, '102': 6456, '103': 951, '104': 61, '106': 17831, '111': 2425, '112': 6495, '113': 956, '114': 61, '116': 22185, '121': 2435, '122': 6451, '123': 956, '124': 61, '126': 28893, '131': 68910, '132': 19402, '133': 2863, '135': 50, '136': 390, '137': 0, '138': '1'}}
2024-08-29 13:49:08,114:INFO:Data retrieved from device: {'dps': {'101': 2432, '102': 6456, '103': 951, '104': 61, '106': 17831, '111': 2425, '112': 6495, '113': 956, '114': 61, '116': 22185, '121': 2435, '122': 6451, '123': 956, '124': 61, '126': 28893, '131': 68910, '132': 19402, '133': 2863, '135': 50, '136': 390, '137': 0, '138': '1'}}
2024-08-29 13:49:09,217:INFO:Data retrieved from device: {'dps': {'101': 2432, '102': 6456, '103': 953, '104': 61, '106': 17831, '111': 2425, '112': 6495, '113': 954, '114': 61, '116': 22185, '121': 2435, '122': 6451, '123': 951, '124': 61, '126': 28893, '131': 68910, '132': 19402, '133': 2858, '135': 50, '136': 390, '137': 0, '138': '1'}}
